Unnamed: 0,title,mileage,price,distance,date_accessed
,2015 Honda Civic EX,108597.0,13680.0,75.0,2022-09-19 16 hrs
,2015 Honda Civic LX,111341.0,12450.0,,2022-09-19 16 hrs
,2014 Honda Civic LX,93949.0,12999.0,76.0,2022-09-19 16 hrs
,2014 Honda Civic LX,111461.0,12495.0,85.0,2022-09-19 16 hrs
,2012 Honda Civic LX,107000.0,8810.0,82.0,2022-09-19 16 hrs
,2014 Honda Civic LX,123617.0,7950.0,19.0,2022-09-19 16 hrs
,2012 Honda Civic EX,119807.0,12995.0,96.0,2022-09-19 16 hrs
,2013 Honda Civic LX,87456.0,13999.0,85.0,2022-09-19 16 hrs
,2012 Honda Civic EX,118268.0,11950.0,,2022-09-19 16 hrs
,2013 Honda Civic LX,127433.0,11498.0,76.0,2022-09-19 16 hrs
,2013 Honda Civic LX,104337.0,12995.0,85.0,2022-09-19 16 hrs
,2015 Honda Civic LX,112982.0,13978.0,74.0,2022-09-19 16 hrs
,2015 Honda Civic EX,131284.0,12500.0,17.0,2022-09-19 16 hrs
,2013 Honda Civic LX,127410.0,11995.0,85.0,2022-09-19 16 hrs
,2012 Honda Civic Si,100241.0,13999.0,76.0,2022-09-19 16 hrs
,2013 Honda Civic LX,124303.0,11989.0,70.0,2022-09-19 16 hrs
,2014 Honda Civic EX,129350.0,12997.0,76.0,2022-09-19 16 hrs
,2014 Honda Civic EX,116041.0,12994.0,96.0,2022-09-19 16 hrs
,2014 Honda Civic LX,108642.0,12499.0,74.0,2022-09-19 16 hrs
,2012 Honda Civic LX,100813.0,13990.0,,2022-09-19 16 hrs
,2012 Honda Civic LX,97341.0,12995.0,85.0,2022-09-19 16 hrs
,2013 Honda Civic LX,106561.0,12995.0,74.0,2022-09-19 16 hrs
,2016 Honda Civic LX,132627.0,13362.0,75.0,2022-09-19 16 hrs
,2012 Honda Civic LX,102237.0,12999.0,85.0,2022-09-19 16 hrs
,2014 Honda Civic LX,122000.0,11500.0,90.0,2022-09-19 16 hrs
,2013 Honda Civic EX,111641.0,12698.0,76.0,2022-09-19 16 hrs
,2013 Honda Civic EX-L,121315.0,13981.0,6.0,2022-09-19 16 hrs
,2014 Honda Civic LX,132632.0,12695.0,97.0,2022-09-19 16 hrs
,2012 Honda Civic LX,94947.0,12900.0,98.0,2022-09-19 16 hrs
,2012 Honda Civic LX,122689.0,12495.0,4.0,2022-09-19 16 hrs
,2014 Honda Civic EX,125834.0,11999.0,76.0,2022-09-19 16 hrs
,2013 Honda Civic LX,96709.0,13777.0,88.0,2022-09-19 16 hrs
,2013 Honda Civic LX,134589.0,10981.0,82.0,2022-09-19 16 hrs
